"Modified Julian Date","Detection","Upper Limit","Error (low)","Error (high)"
57577.499965277966,0.000227,,0.000192,0.000262
57584.499965277966,0.00018,,0.000155,0.000205
57591.499965277966,0.000113,,0.0000899,0.000136
57598.499965277966,0.000248,,0.000224,0.000272
57605.499965277966,0.000308,,0.000291,0.000325
57612.499965277966,0.000313,,0.000289,0.000337
57619.499965277966,0.000263,,0.000238,0.000288
57626.499965277966,0.000208,,0.000184,0.000232
57633.499965277966,0.000119,,0.0000925,0.000146
57640.499965277966,0.000184,,0.000157,0.000211
57647.499965277966,0.000173,,0.000153,0.000193
57654.499965277966,0.000136,,0.000118,0.000154
57661.499965277966,0.000238,,0.000217,0.000259
57668.499965277966,0.000132,,0.000112,0.000153
57675.499965277966,0.000176,,0.000157,0.000195
57689.499965277966,0.000107,,0.0000815,0.000132
57696.499965277966,0.000184,,0.000155,0.000213
57703.499965277966,0.000163,,0.000142,0.000184
57710.499965277966,0.000134,,0.000115,0.000153
57717.499965277966,0.000269,,0.000245,0.000293
57724.499965277966,0.000159,,0.000137,0.000181
57731.499965277966,0.000151,,0.000124,0.000178
57738.499965277966,0.000112,,0.0000811,0.000143
57745.499965277966,0.000164,,0.000137,0.000191
57752.499965277966,0.000203,,0.000169,0.000237
57759.49995370349,0.000408,,0.000377,0.000439
57766.49995370349,0.000195,,0.000173,0.000217
57773.49995370349,0.000293,,0.000267,0.000319
57780.49995370349,0.000182,,0.000156,0.000208
57787.49995370349,0.000158,,0.000132,0.000184
57794.49995370349,0.000132,,0.000108,0.000156
57801.49995370349,0.00015,,0.000125,0.000174
57808.49995370349,0.000141,,0.000121,0.000161
57815.49995370349,0.000169,,0.000149,0.000189
57822.49995370349,0.000245,,0.000221,0.000269
57829.49995370349,0.000179,,0.000157,0.000201
57836.49995370349,0.000216,,0.000191,0.00024
57843.49995370349,0.000104,,0.0000815,0.000126
57850.49995370349,0.000126,,0.000099,0.000153
57857.49995370349,0.0000846,,0.0000663,0.000103
57864.49995370349,0.000108,,0.0000919,0.000124
57871.49995370349,0.000143,,0.000125,0.000161
57878.49995370349,0.000138,,0.00012,0.000156
57885.49995370349,0.000172,,0.000152,0.000192
57892.49995370349,0.000127,,0.000104,0.00015
57899.49995370349,0.00016,,0.000131,0.000189
57906.49995370349,0.000155,,0.000133,0.000177
57913.49995370349,0.0000999,,0.0000806,0.000119
57920.49995370349,0.000109,,0.000093,0.000125
57927.49995370349,0.000202,,0.000179,0.000226
57934.49995370349,0.0000944,,0.0000781,0.000111
57941.49995370349,0.0000914,,0.0000687,0.000114
57948.49995370349,0.000107,,0.0000838,0.00013
57955.49995370349,0.0000975,,0.0000762,0.000119
57962.49995370349,0.0001,,0.0000805,0.00012
57969.49995370349,0.000122,,0.000104,0.00014
57976.49995370349,0.0000979,,0.0000822,0.000114
57983.49995370349,0.000132,,0.000114,0.00015
57990.49995370349,0.000124,,0.000105,0.000143
57997.49995370349,0.000127,,0.000105,0.000149
58004.49995370349,0.0000843,,0.000065,0.000104
58011.49995370349,0.0000838,,0.000065,0.000103
58018.49995370349,0.0000772,,0.0000611,0.0000933
58025.49995370349,0.0000812,,0.0000676,0.0000948
58032.49995370349,0.0000713,,0.0000578,0.0000848
58039.49995370349,0.0000718,,0.000056,0.0000876
58046.49995370349,0.0000475,,0.0000349,0.0000601
58053.49995370349,0.000084,,0.0000668,0.000101
58060.49995370349,0.0000718,,0.0000522,0.0000914
58067.49995370349,0.0000369,,0.0000239,0.0000499
58074.49995370349,0.0000486,,0.0000369,0.0000603
